nom,cat_iucn,creation,date_creation,date_modification,mention_changement,hectares,num_atlas_,full_name,province,region,district,gest_1,gest_2,type_ap,an_creation,nom_wdpa,geometry,rownum
Mikea,II,Décret n°2011 - 499 du 06 juillet 2011,2011-07-06T00:00:00Z,NA,FALSE,184639.555,89,Parc National de Mikea,Toliary,Atsimo Andrefana,"Morombe, Toliara II",Madagascar National Parks,MNP,TERRESTRE,2011,Mikea,NA,78
Montagne d'Ambre/Forêt d'Ambre,II,"Créée le 28.10.58, changement limite; PN et RS avant, PN actuel déc 2015-776 du 28/04/15",1958-10-28T00:00:00Z,2015-04-28T00:00:00Z,TRUE,30537.216,4,Parc National de Montagne d'Ambre,Antsiranana,Diana,Antsiranana II,Madagascar National Parks,MNP,TERRESTRE,1958,Montagne d'Ambre,NA,79
Tsingy de Namoroka,II,Créée le 07 aout 04,2004-08-07T00:00:00Z,NA,FALSE,22523.984,69,Parc National de Namoroka,Mahajanga,Boeny,Soalala,Madagascar National Parks,MNP,TERRESTRE,2004,Namoroka,NA,80
Nosy Hara,II,Décret n°2011 - 499 du 06 juillet 2011,2011-07-06T00:00:00Z,NA,FALSE,125713.6,1,Parc National de Nosy Hara,Antsiranana,Diana,Antsiranana II,Madagascar National Parks,MNP,"MARINE (Ilots, bancs récifaux, mangroves, étendue marine)",2011,Nosy Hara,NA,81
Nosy Mangabe,IV,Créée le 14 decembre 1965,1965-12-14T00:00:00Z,NA,FALSE,595.899,25,Parc National de Nosy Mangabe,Toamasina,Analanjirofo,Maroantsetra,Madagascar National Parks,MNP,TERRESTRE (4 Iles avec Zone de protection marine),1965,Nosy Mangabe,NA,82
Oronjia,V,Décret n°2015-771 du 28 avril 2015,2015-04-28T00:00:00Z,NA,FALSE,1678.333,2,Paysage Harmonieux Protégé d'Oronjia,Antsiranana,Diana,Antsiranana II,Missouri Botanical Garden,MBG,TERRESTRE,2015,Oronjia,NA,83
Ranobe PK32,NA,Décret n°2015-808 du 5 mai 2015,2015-05-05T00:00:00Z,NA,FALSE,168500.237,93,Nouvelle Aire Protégée de Ranobe PK32,Toliary,Atsimo Andrefana,"Sakaraha, Toliara II","Ministère de l'Environnement, de l'Ecologie et des Forêts",MEEF,TERRESTRE,2015,Ranobe PK 32,NA,84
Ranomafana,II,Créée le 27 mai 1991,1991-05-27T00:00:00Z,NA,FALSE,40519.245,46,Parc National de Ranomafana,Fianarantsoa,"Haute Matsiatra, Vatovavy Fitovinany","Ambohimahasoa, Fianarantsoa II, Ifanadiana",Madagascar National Parks,MNP,TERRESTRE,1991,Ranomafana,NA,85
Réserve deTampolo,V,Décret n°2015-789 du 28 avril 2015,2015-04-28T00:00:00Z,NA,FALSE,727.286,30,Paysage Harmonieux Protégé de la Réserve de Tampolo,Toamasina,Analanjirofo,Fenoarivo Est,Ecole Supérieure des Sciences Agronomiques - Forêts,ESSA-Forêts,TERRESTRE,2015,Réserve de Tampolo,NA,86
Réserve speciale Pointe à Larrée,IV,Décret n°2015-773 du 28 avril 2015,2015-04-28T00:00:00Z,NA,FALSE,770.65,29,Réserve Spéciale de Pointe à Larrée,Toamasina,Analanjirofo,Soanierana Ivongo,Missouri Botanical Garden,MBG,TERRESTRE,2015,Réserve spéciale Pointe à Larrée,NA,87
Sahafina,VI,Décret n°2015-728 du 21 avril 2015,2015-04-21T00:00:00Z,NA,FALSE,2406.855,39,Paysage Harmonieux Protégé de Sahafina,Toamasina,Atsinanana,Vohibinany (Brickaville),Biodiversity Conservation Madagascar,BCM,TERRESTRE,2015,Sahafina,NA,88
Iles Radama/Sahamalaza,II,Décret N°2007/247 du 19/03/07,2007-03-19T00:00:00Z,NA,FALSE,24025.575,15,Parc National de Sahamalaza-Iles Radama,Mahajanga,Sofia,"Ambanja, Analalava",Madagascar National Parks,MNP,TERRESTRE Avec Partie Marine (Mangroves et zones côtières),2007,Sahamalaza Iles Radama,NA,89
Site Bioculturel d'Antrema,VI,Décret n°2015 -712 du 21 avril 2015,2015-04-21T00:00:00Z,NA,FALSE,20425.397,64,Réserve de Ressources Naturelles du Site Bioculturel d'Antrema,Mahajanga,Boeny,Mitsinjo,Muséum national d'Histoire naturelle,MNHN,TERRESTRE Avec Partie Marine,2015,Site Bioculturel d'Antrema,NA,90
Torotorofotsy,NA,Décret n°2015-808 du 5 mai 2015,2015-05-05T00:00:00Z,NA,FALSE,9764.4,41,Nouvelle Aire Protégée de Torotorofotsy,Toamasina,Alaotra Mangoro,Moramanga,Asity Madagascar,NA,TERRESTRE,2015,Torotorofotsy,NA,91
Tsaratanana,II,"Créée depuis le 31.12.97, Changement de statut en 2011 auparavant RNI, actuellement PN",1997-12-31T00:00:00Z,2011-07-06T00:00:00Z,TRUE,108616.154,13,Réserve Naturelle Intégrale de Tsaratanàna,"Antsiranana, Mahajanga","Diana, Sava, Sofia","Ambanja, Ambilobe, Bealalana",Madagascar National Parks,MNP,TERRESTRE,1997,Tsaratanana,NA,92
Tsimanampesotsa,II,"Créée depuis le 07.08.03, Changement de limite en 2015 sous le n° décret 2015-736 du 21 avril 2015",2003-08-07T00:00:00Z,2015-04-21T00:00:00Z,TRUE,201429.639,97,Parc National de Tsimanampesotse,Toliary,Atsimo Andrefana,"Ampanihy, Betioky Atsimo, Toliara II",Madagascar National Parks,MNP,TERRESTRE,2003,Tsimanampesotse,NA,93
Tsinjoriake,V,Décret n°2015-781 du 28 avril 2015,2015-04-28T00:00:00Z,NA,FALSE,13722.018,95,Paysage Harmonieux Protégé de Tsinjoriake,Toliary,Atsimo Andrefana,"Toliara I, Toliara II",Association TAMIA,NA,TERRESTRE,2015,Tsinjoriake,NA,94
Vohidava-Betsimalaho,VI,Décret n°2015-774 du 28 avril 2015,2015-04-28T00:00:00Z,NA,FALSE,18107.365,55,Réserve de Ressources Naturelles de Vohidava-Betsimalaho,Toliary,Anosy,Amboasary Asimo,Missouri Botanical Garden,MBG,TERRESTRE,2015,Vohidava Betsimalao,NA,95
Zahamena,II,Créée depuis le 07.08.97; auparavant RNI et PN actuellement  (déc: 2015-737 du 21/04/2015),1997-08-07T00:00:00Z,2015-04-21T00:00:00Z,TRUE,64663.075,32,Parc National de Zahamena,Toamasina,"Alaotra Mangoro, Analanjirofo, Atsinanana","Ambatondrazaka, Toamasina II, Vavatenina",Madagascar National Parks,MNP,TERRESTRE,1997,Zahamena,NA,96
Zombitse Vohibasia,II,Créée le 18 decmbre 1997,1997-12-18T00:00:00Z,NA,FALSE,35811.195,91,Parc National de Zombitse-Vohibasia,Toliary,Atsimo Andrefana,"Ankazoabe Atsimo, Sakaraha",Madagascar National Parks,MNP,TERRESTRE,1997,Zombitse Vohibasia,NA,97
Mandrozo,V,Décret n°2015 -714 du 21 avril 2015,2015-04-21T00:00:00Z,NA,FALSE,15145.212,80,Paysage Harmonieux Protégé de Mandrozo,Mahajanga,Melaky,Maintirano,The Peregrine Fund,TPF,TERRESTRE,2015,Zone Humide de Mandrozo,NA,98
